hit_year,track_duration_ms,tempo,loudness,mode_name,key_mode,period,before_pandemic,major,minor
2014,232720,160.019,-4.662,minor,F minor,Before Pandemic,1,0,1
2014,215672,131.931,-6.122,major,F# major,Before Pandemic,1,1,0
2014,269560,119.93,-7.064,major,G# major,Before Pandemic,1,1,0
2014,199938,94.981,-4.141,minor,A# minor,Before Pandemic,1,0,1
2014,257840,122.017,-4.972,minor,C# minor,Before Pandemic,1,0,1
2014,177685,100.315,-7.321,major,F# major,Before Pandemic,1,1,0
2014,224773,144.062,-3.78,major,C# major,Before Pandemic,1,1,0
2014,187920,134.052,-3.726,major,A major,Before Pandemic,1,1,0
2015,187920,134.052,-3.726,major,A major,Before Pandemic,1,1,0
2014,193920,103.008,-5.352,minor,C# minor,Before Pandemic,1,0,1
2014,172723,84.094,-6.444,major,C major,Before Pandemic,1,1,0
2015,172723,84.094,-6.444,major,C major,Before Pandemic,1,1,0
2014,204053,129.972,-4.106,major,B major,Before Pandemic,1,1,0
2014,214147,127.435,-6.383,major,A major,Before Pandemic,1,1,0
2014,219200,160.078,-5.384,major,G major,Before Pandemic,1,1,0
2015,219200,160.078,-5.384,major,G major,Before Pandemic,1,1,0
2014,247520,119.939,-5.465,major,G# major,Before Pandemic,1,1,0
2014,213733,100.014,-4.1,minor,C# minor,Before Pandemic,1,0,1
2014,250188,110.049,-3.68,minor,C# minor,Before Pandemic,1,0,1
2014,229400,141.284,-8.822,major,D major,Before Pandemic,1,1,0
2014,193058,99.961,-7.436,major,F# major,Before Pandemic,1,1,0
2014,252733,74.897,-7.346,major,G major,Before Pandemic,1,1,0
2014,190185,84.878,-9.504,major,G major,Before Pandemic,1,1,0
2014,223840,136.956,-6.85,major,G# major,Before Pandemic,1,1,0
2014,249693,124.118,-5.133,major,D major,Before Pandemic,1,1,0
2014,175200,89.938,-3.015,major,D# major,Before Pandemic,1,1,0
2014,244560,120.967,-5.705,major,D# major,Before Pandemic,1,1,0
2014,216120,117.089,-2.88,major,C# major,Before Pandemic,1,1,0
2015,216120,117.089,-2.88,major,C# major,Before Pandemic,1,1,0
2014,209423,163.99,-3.753,major,B major,Before Pandemic,1,1,0
2014,199320,149.974,-4.446,minor,C minor,Before Pandemic,1,0,1
2015,199320,149.974,-4.446,minor,C minor,Before Pandemic,1,0,1
2014,255866,121.986,-5.455,major,C# major,Before Pandemic,1,1,0
2014,189960,120.032,-5.522,minor,C# minor,Before Pandemic,1,0,1
2014,264946,99.059,-5.963,minor,A# minor,Before Pandemic,1,0,1
2014,194240,100.012,-2.392,major,D major,Before Pandemic,1,1,0
2014,209160,110.02,-3.539,major,F major,Before Pandemic,1,1,0
2015,209160,110.02,-3.539,major,F major,Before Pandemic,1,1,0
2014,222533,127.949,-3.556,minor,E minor,Before Pandemic,1,0,1
2014,169866,91.999,-2.28,major,E major,Before Pandemic,1,1,0
2014,323480,140.036,-6.902,minor,F minor,Before Pandemic,1,0,1
2014,260239,129.99,-6.224,major,D major,Before Pandemic,1,1,0
2014,214840,129.956,-5.324,minor,G minor,Before Pandemic,1,0,1
2014,243293,90.936,-3.506,major,G major,Before Pandemic,1,1,0
2014,231211,87.016,-5.031,major,C# major,Before Pandemic,1,1,0
2014,193295,81.946,-6.886,minor,A minor,Before Pandemic,1,0,1
2014,227833,120.97,-6.735,major,B major,Before Pandemic,1,1,0
2014,266840,98.052,-5.225,major,D major,Before Pandemic,1,1,0
2014,217800,98.098,-7.299,major,G major,Before Pandemic,1,1,0
2014,221360,119.964,-6.262,major,F major,Before Pandemic,1,1,0
2014,266533,84.729,-5.772,major,D major,Before Pandemic,1,1,0
2014,222666,89.972,-4.382,minor,G minor,Before Pandemic,1,0,1
2014,296520,104.031,-3.681,major,A major,Before Pandemic,1,1,0
2014,254880,81.853,-7.256,minor,B minor,Before Pandemic,1,0,1
2014,220906,132.085,-2.969,major,G# major,Before Pandemic,1,1,0
2014,175333,102.078,-4.859,major,C# major,Before Pandemic,1,1,0
2014,267866,124.97,-6.474,major,F# major,Before Pandemic,1,1,0
2014,219840,95.049,-7.008,major,C# major,Before Pandemic,1,1,0
2015,219840,95.049,-7.008,major,C# major,Before Pandemic,1,1,0
2014,231906,96.975,-6.253,minor,A minor,Before Pandemic,1,0,1
2014,194561,167.879,-7.314,major,A major,Before Pandemic,1,1,0
2014,227026,100.001,-6.636,minor,F# minor,Before Pandemic,1,0,1
2014,235382,119.988,-4.451,minor,G# minor,Before Pandemic,1,0,1
2014,186813,136.245,-3.686,major,A major,Before Pandemic,1,1,0
2014,236093,171.255,-6.58,minor,A# minor,Before Pandemic,1,0,1
2014,237626,130.027,-6.279,major,G# major,Before Pandemic,1,1,0
2014,255093,125.014,-4.867,minor,G minor,Before Pandemic,1,0,1
2014,217306,81.897,-4.884,major,C major,Before Pandemic,1,1,0
2014,231013,189.868,-6.46,minor,E minor,Before Pandemic,1,0,1
2015,231013,189.868,-6.46,minor,E minor,Before Pandemic,1,0,1
2014,219160,135.939,-6.652,major,F# major,Before Pandemic,1,1,0
2014,226866,143.935,-3.225,major,B major,Before Pandemic,1,1,0
2014,227000,101.013,-7.51,major,A major,Before Pandemic,1,1,0
2014,230586,121.973,-4.224,major,D major,Before Pandemic,1,1,0
2014,224226,120.022,-3.752,major,G major,Before Pandemic,1,1,0
2014,220200,170.006,-5.734,major,G major,Before Pandemic,1,1,0
2014,206166,119.987,-7.548,major,D major,Before Pandemic,1,1,0
2014,193975,174.08,-4.655,minor,F minor,Before Pandemic,1,0,1
2014,304228,128.007,-6.36,major,C# major,Before Pandemic,1,1,0
2014,269693,87.666,-5.236,major,C# major,Before Pandemic,1,1,0
2014,182960,85.022,-7.37,major,C major,Before Pandemic,1,1,0
2014,220573,185.063,-3.838,minor,A# minor,Before Pandemic,1,0,1
2014,240400,124.053,-2.81,major,A# major,Before Pandemic,1,1,0
2014,192160,171.96,-3.813,major,A major,Before Pandemic,1,1,0
2014,244226,141.967,-4.292,major,C# major,Before Pandemic,1,1,0
2014,246026,117.513,-6.212,minor,G minor,Before Pandemic,1,0,1
2014,254466,205.972,-5.566,major,A major,Before Pandemic,1,1,0
2014,215042,125.98,-5.122,major,B major,Before Pandemic,1,1,0
2014,198034,101.005,-3.84,minor,B minor,Before Pandemic,1,0,1
2014,220779,124.988,-4.399,minor,F# minor,Before Pandemic,1,0,1
2014,263053,120,-7.707,major,G major,Before Pandemic,1,1,0
2014,216573,97.47,-4.65,major,A major,Before Pandemic,1,1,0
2014,206866,137.968,-3.556,minor,B minor,Before Pandemic,1,0,1
2014,237247,101.593,-5.237,major,D major,Before Pandemic,1,1,0
2014,201600,95.486,-9.539,major,C# major,Before Pandemic,1,1,0
2014,211960,103.987,-3.803,minor,A# minor,Before Pandemic,1,0,1
2014,337640,91.935,-8.807,minor,A# minor,Before Pandemic,1,0,1
2014,252520,140.005,-5.254,major,A major,Before Pandemic,1,1,0
2014,191040,181.964,-5.352,major,F# major,Before Pandemic,1,1,0
2014,220319,116.491,-5.545,major,G major,Before Pandemic,1,1,0
2014,202496,160.025,-4.237,major,A major,Before Pandemic,1,1,0
2014,217346,127.961,-3.109,major,G# major,Before Pandemic,1,1,0
2014,319466,175.928,-11.522,minor,B minor,Before Pandemic,1,0,1
2014,278066,133.922,-7.776,minor,G# minor,Before Pandemic,1,0,1
